Starting server on :3001
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /ws                       --> smart-scheduling/server/internal/router.Setup.func1 (4 handlers)
[GIN-debug] GET    /api/health               --> smart-scheduling/server/internal/router.Setup.func2 (4 handlers)
[GIN-debug] POST   /api/auth/login           --> smart-scheduling/server/internal/handler.(*AuthHandler).Login-fm (4 handlers)
[GIN-debug] GET    /api/auth/me              --> smart-scheduling/server/internal/handler.(*AuthHandler).Me-fm (5 handlers)
[GIN-debug] GET    /api/model-types          --> smart-scheduling/server/internal/handler.(*MetaHandler).ModelTypes-fm (5 handlers)
[GIN-debug] POST   /api/units/:id/notify-update --> smart-scheduling/server/internal/handler.(*UnitHandler).NotifyUpdate-fm (4 handlers)
[GIN-debug] GET    /api/batches              --> smart-scheduling/server/internal/handler.(*BatchHandler).List-fm (5 handlers)
[GIN-debug] GET    /api/batches/:id          --> smart-scheduling/server/internal/handler.(*BatchHandler).GetByID-fm (5 handlers)
[GIN-debug] GET    /api/batches/:id/units    --> smart-scheduling/server/internal/handler.(*BatchHandler).GetBatchUnits-fm (5 handlers)
[GIN-debug] POST   /api/batches/:id/confirm  --> smart-scheduling/server/internal/handler.(*BatchHandler).Confirm-fm (5 handlers)
[GIN-debug] POST   /api/batches/:id/revoke   --> smart-scheduling/server/internal/handler.(*BatchHandler).Revoke-fm (5 handlers)
[GIN-debug] POST   /api/batches/batch-confirm --> smart-scheduling/server/internal/handler.(*BatchHandler).BatchConfirm-fm (5 handlers)
[GIN-debug] POST   /api/batches/:id/insert-empty-slot --> smart-scheduling/server/internal/handler.(*BatchHandler).InsertEmptySlot-fm (5 handlers)
[GIN-debug] PATCH  /api/batches/:id/stock-models --> smart-scheduling/server/internal/handler.(*BatchHandler).SyncStockModels-fm (5 handlers)
[GIN-debug] GET    /api/production-queue     --> smart-scheduling/server/internal/handler.(*QueueHandler).List-fm (5 handlers)
[GIN-debug] GET    /api/units/empty-containers --> smart-scheduling/server/internal/handler.(*UnitHandler).EmptyContainers-fm (5 handlers)
[GIN-debug] POST   /api/units/special-card   --> smart-scheduling/server/internal/handler.(*UnitHandler).CreateSpecialCard-fm (5 handlers)
[GIN-debug] GET    /api/units/:id            --> smart-scheduling/server/internal/handler.(*UnitHandler).GetByID-fm (5 handlers)
[GIN-debug] PATCH  /api/units/:id            --> smart-scheduling/server/internal/handler.(*UnitHandler).Update-fm (5 handlers)
[GIN-debug] PATCH  /api/units/:id/unlock     --> smart-scheduling/server/internal/handler.(*UnitHandler).Unlock-fm (5 handlers)
[GIN-debug] POST   /api/units/:id/move-batch --> smart-scheduling/server/internal/handler.(*UnitHandler).MoveBatch-fm (5 handlers)
[GIN-debug] POST   /api/units/:id/move-to-special --> smart-scheduling/server/internal/handler.(*UnitHandler).MoveToSpecial-fm (5 handlers)
[GIN-debug] POST   /api/units/:id/reorder-slot --> smart-scheduling/server/internal/handler.(*UnitHandler).ReorderSlot-fm (5 handlers)
[GIN-debug] POST   /api/units/repair-family-mismatches --> smart-scheduling/server/internal/handler.(*UnitHandler).RepairFamilyMismatches-fm (5 handlers)
[GIN-debug] POST   /api/units/swap-content   --> smart-scheduling/server/internal/handler.(*UnitHandler).SwapContent-fm (5 handlers)
[GIN-debug] POST   /api/units/rush-insert    --> smart-scheduling/server/internal/handler.(*UnitHandler).RushInsert-fm (5 handlers)
[GIN-debug] POST   /api/units/:id/convert-to-rush --> smart-scheduling/server/internal/handler.(*UnitHandler).ConvertToRush-fm (5 handlers)
[GIN-debug] POST   /api/units/:id/mark-spot  --> smart-scheduling/server/internal/handler.(*UnitHandler).MarkSpot-fm (5 handlers)
[GIN-debug] POST   /api/forecast/recompute   --> smart-scheduling/server/internal/handler.(*ForecastHandler).Recompute-fm (5 handlers)
[GIN-debug] GET    /api/forecast/achievement --> smart-scheduling/server/internal/handler.(*ForecastHandler).Achievement-fm (5 handlers)
[GIN-debug] GET    /api/capacity-ratio       --> smart-scheduling/server/internal/handler.(*CapacityHandler).Get-fm (5 handlers)
[GIN-debug] PATCH  /api/capacity-ratio       --> smart-scheduling/server/internal/handler.(*CapacityHandler).Update-fm (5 handlers)
[GIN-debug] GET    /api/production-lines     --> smart-scheduling/server/internal/handler.(*LineHandler).List-fm (5 handlers)
[GIN-debug] POST   /api/production-lines/:id/assign --> smart-scheduling/server/internal/handler.(*LineHandler).Assign-fm (5 handlers)
[GIN-debug] POST   /api/production-lines/:id/manual-complete --> smart-scheduling/server/internal/handler.(*LineHandler).ManualComplete-fm (5 handlers)
[GIN-debug] POST   /api/production-lines/:id/lock-units --> smart-scheduling/server/internal/handler.(*LineHandler).LockUnits-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :3001
[GIN] 2026/06/02 - 10:43:54 | 200 |            0s |       127.0.0.1 | GET      "/api/health"
[GIN] 2026/06/02 - 11:04:45 | 200 |      1.8714ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 11:04:45 | 200 |     15.7392ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 11:04:45 | 200 |    286.3021ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 11:04:46 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 11:04:49 | 200 |      1.0456ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 11:04:49 | 200 |       718.8µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 11:04:49 | 200 |      2.5745ms |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 11:04:50 | 200 |    105.3206ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 11:04:50 | 200 |      5.1205ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 11:04:50 | 200 |      6.2764ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 11:04:50 | 200 |    302.0939ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 11:04:50 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 11:26:40 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 11:26:42 | 200 |       537.1µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 11:26:43 | 200 |      7.0514ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 11:26:43 | 200 |    298.8086ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 11:26:43 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 13:18:57 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:10:03 | 200 |      1.0311ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:10:03 | 200 |      8.9624ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:10:04 | 200 |    311.9598ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:10:04 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:10:07 | 200 |       532.6µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:10:07 | 200 |       575.8µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:10:07 | 200 |         509µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:10:07 | 200 |     87.2128ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:10:07 | 200 |      6.7173ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:07 | 200 |      5.9302ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:08 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:10:19 | 200 |     71.5349ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:10:19 | 200 |      5.1667ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:19 | 200 |      7.9253ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:19 | 200 |      4.9356ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:46 | 200 |      22.581ms |       127.0.0.1 | POST     "/api/batches/BATCH-202606-G-001-10194725/confirm"
[GIN] 2026/06/02 - 14:10:46 | 200 |      5.4079ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:46 | 200 |       9.536ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:10:46 | 200 |      5.7445ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:46 | 200 |      5.9083ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:50 | 200 |      1.0719ms |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:10:50 | 200 |       513.5µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:10:50 | 200 |       512.2µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:10:50 | 200 |     77.4586ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:10:50 | 200 |      5.7471ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:10:50 | 200 |      4.9407ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
